id,ficheiro,final,origem,mudou_pct
f0157,21-52.JPG,21-52.JPG,original,0.00
f0158,21-53.JPG,21-53.JPG,original,0.00
f0159,21-6.jpg,21-6.jpg,original,0.00
f0160,21-60.jpg,21-60.jpg,IA,1.32
f0161,21-7.JPG,21-7.JPG,original,0.00
f0162,21-8.jpg,21-8.jpg,lanczos,0.46
f0163,21-9.JPG,21-9.JPG,original,0.00
f0164,22-2.JPG,22-2.JPG,original,0.00
f0165,22-5.JPG,22-5.JPG,original,0.00
f0166,30Abril18_125.jpg,f0166__30Abril18_125.jpg,original,0.00
f0167,448_ML_FestaNatal2024.jpg,448_ML_FestaNatal2024.jpg,original,0.00
f0168,499_ML_FestaNatal2024.jpg,499_ML_FestaNatal2024.jpg,original,0.00
f0169,5 (2).jpg,5 (2).jpg,IA,1.14
f0170,5-3.jpg,f0170__5-3.jpg,lanczos,0.53
f0171,6-4.jpg,6-4.jpg,original,0.00
f0172,6.jpg,f0172__6.jpg,lanczos,0.54
f0173,69916331_2555139434539758_2920736718019624960_n.jpg,69916331_2555139434539758_2920736718019624960_n.jpg,original,0.00
f0174,7-1.jpg,7-1.jpg,lanczos,0.64
f0175,7.jpg,7.jpg,lanczos,0.56
f0176,8-1.jpg,8-1.jpg,lanczos,0.61
f0177,8-3.jpg,8-3.jpg,lanczos,0.47
f0178,8-4.jpg,8-4.jpg,lanczos,0.65
f0179,8-5.jpg,8-5.jpg,lanczos,0.53
f0180,8-6.jpg,8-6.jpg,IA,0.37
f0181,8-7.jpg,8-7.jpg,IA,0.84
f0182,8-8.jpg,8-8.jpg,lanczos,0.50
f0183,8-9-1.jpg,8-9-1.jpg,lanczos,0.22
f0184,8-9-2.jpg,8-9-2.jpg,original,0.00
f0185,8-9.jpg,8-9.jpg,IA,2.37
f0186,8.jpg,8.jpg,IA,1.14
f0187,82 - Cópia.jpg,82 - Cópia.jpg,lanczos,0.54
f0188,82-1.JPG,82-1.JPG,original,0.00
f0189,82-10.jpg,82-10.jpg,original,0.00
f0190,82-11-1.jpg,82-11-1.jpg,lanczos,0.49
f0191,82-11.jpeg,82-11.jpeg,original,0.00
f0192,82-2.jpg,82-2.jpg,original,0.00
f0193,82-25- -2022.JPG,82-25- -2022.JPG,original,0.00
f0194,82-27.jpeg,82-27.jpeg,original,0.00
f0195,82-3.JPG,82-3.JPG,original,0.00
f0196,82-31.JPG,82-31.JPG,original,0.00
f0197,82-32.JPG,82-32.JPG,original,0.00
f0198,82-36.JPG,82-36.JPG,original,0.00
f0199,82-37.jpeg,82-37.jpeg,original,0.00
f0200,82-4.jpg,82-4.jpg,original,0.00
f0201,82-41.JPG,82-41.JPG,original,0.00
f0202,82-43.JPG,82-43.JPG,original,0.00
f0203,82-46.JPG,82-46.JPG,original,0.00
f0204,82-48.JPG,82-48.JPG,original,0.00
f0205,82-50.JPG,82-50.JPG,original,0.00
f0206,82-53.JPG,82-53.JPG,original,0.00
f0207,82-59.JPG,82-59.JPG,original,0.00
f0208,82-6.jpg,82-6.jpg,original,0.00
f0209,82-7.jpg,82-7.jpg,original,0.00
f0210,82-9.jpg,82-9.jpg,lanczos,0.51
f0211,9-12.JPG,9-12.JPG,original,0.00
f0212,9-13.JPG,9-13.JPG,original,0.00
f0213,9-14.JPG,9-14.JPG,original,0.00
f0214,9-15-1.JPG,9-15-1.jpg,lanczos,0.52
f0215,9-15-2.jpg,9-15-2.jpg,IA,1.29
