id,ordem,bloco,ficheiro,tipo,pessoa,ano,evento,duracao_s,in_s,out_s,movimento,texto_ecra,resolucao_ok,voto_tiago,voto_clara,nota_tiago,nota_clara,estado
f0352,87,5,2018_FCP_cLARA_tIAGO_E_FAMILIA_PATERNA_TIAGO.jpg,foto,Familia,2018,Por classificar,4,,,Nenhum,,Nao,,,,,
f0313,88,5,2018_TiaGO_AMIGOS_TRABALHO_PWC_VIAGEM_ANGOLA.jpg,foto,Amigos,2018,Por classificar,4,,,Pan D-E,,Nao,,,,,
f0043,89,5,20-2.JPG,foto,Clara,2018,"Velozes, de preferência",4,,,Zoom in,,Sim,,,,,
f0281,90,5,IMG_4751.JPG,foto,,2018,"sem contexto, 2018",4,,,Zoom out,,Sim,,,,,
f0280,91,5,IMG_4601(7).jpg,foto,Tiago,2019,... De cerveja,4,,,Zoom in,,Sim,,,,,
f0061,92,5,21-12.JPG,foto,Clara,2019,Açores,4,,,Zoom out,Açores,Nao,,,,,
f0062,93,5,21-13.JPG,foto,Clara,2019,Açores,4,,,Zoom in,,Nao,,,,,
f0078,94,5,21-30.JPG,foto,Clara,2019,Bruges,4,,,Nenhum,Bruges,Sim,,,,,
f0267,95,5,IMG_3576.JPG,foto,Tiago,2019,Captando o pôr-de-sol,4,,,Zoom in,,Sim,,,,,
f0021,96,5,11-10.JPG,foto,Familia,2019,Com o Henrique (o mano),4,,,Zoom out,,Sim,,,,,
f0063,97,5,21-15.JPG,foto,Clara,2019,Croácia,4,,,Zoom in,Croácia,Nao,,,,,
f0064,98,5,21-16.JPG,foto,Clara,2019,Croácia,4,,,Zoom out,Croácia,Sim,,,,,
f0079,99,5,21-31.jpg,foto,Clara,2019,Croácia,4,,,Zoom in,,Nao,,,,,
f0265,100,5,IMG_3540.JPG,foto,Tiago,2019,Croácia,4,,,Zoom out,Croácia,Sim,,,,,
f0266,101,5,IMG_3547.JPG,foto,Tiago,2019,Croácia,4,,,Nenhum,,Sim,,,,,
f0273,102,5,IMG_4425.JPG,foto,Ambos,2019,"Cumplicidades, 2018",4,,,Zoom out,,Nao,,,,,
f0271,103,5,IMG_4277 (3) (1).jpg,foto,Ambos,2019,"Cumplicidades, 2019",4,,,Zoom in,,Sim,,,,,
f0219,104,5,9-17.JPG,foto,Clara,2019,"Do ""Game of Thrones"". (Local de filmag",4,,,Zoom out,,Sim,,,,,
f0059,105,5,21-11-3.jpg,foto,Clara,2019,Em Setúbal / Nos Açores,4,,,Zoom in,,Nao,,,,,
f0058,106,5,21-11-2.JPG,foto,Clara,2019,Em Sintra / Em Setúbal,4,,,Zoom out,,Sim,,,,,
f0060,107,5,21-11.jpeg,foto,Clara,2019,"Passeios. O verbo ""ir"" é o que melhor",4,,,Zoom in,,Sim,,,,,
f0277,108,5,IMG_4517.JPG,foto,Tiago,2019,"Tiago, 2019",4,,,Nenhum,,Sim,,,,,
f0257,109,5,IMG_0588.JPG,foto,Tiago,2019,Um dos vários desportos que gosta de p,4,,,Zoom in,,Sim,,,,,
f0205,110,5,82-50.JPG,foto,Ambos,2020,"-És uma workaholic, não és? -Agora não",4,,,Zoom out,,Sim,,,,,
