ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
221,f0239,foto,O encontro,A Happy Year (16).jpg,3.7,0.7,666.92,670.62,3.0,2.3,Nenhum,,fiel,5.0,-26.0,,
222,f0155,foto,O encontro,21-50.JPG,4.15,0.7,669.92,674.07,3.45,2.75,Zoom in,"Na Escola Secundária, com 16 anos.",fiel,7.0,-40.7,,
223,f0038,foto,O encontro,185.JPG,3.7,0.7,673.37,677.07,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
224,f0156,foto,O encontro,21-51.JPG,4.15,0.7,676.37,680.52,3.45,2.75,Zoom in,Na aula de Biologia,fiel,7.0,-40.7,,
225,f0157,foto,O encontro,21-52.JPG,4.15,0.7,679.82,683.98,3.45,2.75,Zoom in,Festa dos 17 anos da Clara,fundo,7.0,-40.7,,
226,f0158,foto,O encontro,21-53.JPG,4.15,0.7,683.28,687.43,3.45,2.75,Zoom in,,fiel,7.0,-40.7,,
227,f0160,foto,O encontro,21-60.jpg,4.15,0.7,686.73,690.88,3.45,2.75,Zoom in,Com 20 anos,fundo,7.0,-40.7,,
228,f0150,foto,O encontro,21-49-58.JPG,4.15,0.7,690.18,694.33,3.45,2.75,Zoom in,L'amour,fundo,7.0,-40.7,,
229,f0164,foto,O encontro,22-2.JPG,3.7,0.7,693.63,697.33,3.0,2.3,Zoom in,E le glamour,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
230,f0165,foto,O encontro,22-5.JPG,3.7,0.7,696.63,700.33,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
231,f0188,foto,O encontro,82-1.JPG,3.7,0.7,699.63,703.33,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
232,f0050,foto,O encontro,20170805181124.jpg,3.7,0.7,702.63,706.33,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
233,f0293,foto,O encontro,IMG_9283 (1).jpg,3.7,0.7,705.63,709.33,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
234,f0246,foto,O encontro,DSC07594.JPG,3.7,0.7,708.63,712.33,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
